Company,Degree Centrality,Betweenness Centrality
Airbnb,0.07418181818181818,0.00453401397738967
Airware,0.072,0.0031686170793365103
Ark,0.07054545454545454,0.003196889442555516
AngelList,0.06763636363636363,0.005134256799978952
Algolia,0.061090909090909085,0.0029677562356012033
42Floors,0.047999999999999994,0.001824610725263227
AeroFS,0.04654545454545454,0.0005342302736598766
AnyPerk,0.04581818181818181,0.0008112186376249912
42,0.04509090909090909,0.0015619159884421132
500Friends,0.04509090909090909,0.0007808967094939627
Robinhood,0.042909090909090904,0.0010716078658186893
1000memories,0.042909090909090904,0.000744820410356977
Atomwise,0.04218181818181818,0.00100007501534697
Amplitude,0.04145454545454545,0.000500630389603136
Applauze,0.04145454545454545,0.0009005480724438176
Authy,0.04072727272727272,0.00042921398234847856
Amiato,0.04072727272727272,0.0002605108431963504
Apportable,0.03927272727272727,0.0005510609629371129
Apptimize,0.03927272727272727,0.0008937143388579158
Airseed,0.03854545454545454,0.000745434031797296
AppDynamics,0.03854545454545454,0.0015613769417341943
Apcera,0.03781818181818181,0.0004987884153982062
Avegant,0.03563636363636363,0.0006383795991847201
AdStage,0.034909090909090904,0.0009560383993141961
Alchemist Accelerator,0.03345454545454545,0.0017870230363639403
One Inc.,0.03345454545454545,0.0008403594810625013
Asseta,0.03272727272727272,0.0009727130525709407
AltSchool,0.032,0.0008001672230672887
Appurify,0.032,0.0008198093730900501
20n,0.032,0.00019310136786507693
InboxQ,0.032,0.0006401264756538287
Aerohive Networks,0.03127272727272727,0.0004653420185041578
37coins,0.030545454545454542,0.0010260109383923408
AdRoll,0.029818181818181817,0.001279117249387833
21 Inc,0.029818181818181817,0.0002634926964150358
Artillery,0.029818181818181817,0.0002959772948151113
PushMarket,0.029818181818181817,0.0002000918583339883
AdMob,0.029818181818181817,0.0007570740572149549
AirPair,0.02909090909090909,0.0002077533073409025
AgileMD,0.02836363636363636,0.000437025686430499
Apsalar,0.02836363636363636,0.0007968024461470324
Aptible,0.02836363636363636,0.000437025686430499
Asana,0.02836363636363636,0.0002300325946383832
15Five,0.02836363636363636,0.0003747272720389602
2Wire,0.027636363636363636,0.001478905324669835
"Andy OS, inc.",0.027636363636363636,0.00022450115107402278
Area 1 Security,0.027636363636363636,0.0008305026909554177
3-V Biosciences,0.026909090909090907,0.00036878363857969555
Autonomic Networks,0.026909090909090907,0.001621181095326557
Aardvark,0.026909090909090907,0.0009570694153121467
about.me,0.02618181818181818,0.0008962985448846123
agÃÂ¡mi Systems,0.02618181818181818,0.00018457158967831626
Apropose,0.02618181818181818,0.000184097698468224
analyticsMD,0.02618181818181818,3.2207753273571e-05
280 North,0.02618181818181818,2.6903127488846513e-05
Automatic,0.025454545454545452,3.292989441594669e-05
Auctomatic,0.025454545454545452,2.296983310841521e-05
AdGrok,0.025454545454545452,0.0003786346269193355
Airy Labs,0.025454545454545452,0.0016283105512230297
Appstores.com,0.024727272727272726,0.0009279890717334736
Adioso,0.024727272727272726,1.113941340614896e-05
3VR,0.024727272727272726,0.0012129654570583225
AirPR,0.024727272727272726,0.00041547256479880534
23andMe,0.024727272727272726,0.0008084183779679384
Affirm,0.024727272727272726,0.00022874180174859947
8tracks Radio,0.024727272727272726,0.00029015106278187756
Airbrite,0.024727272727272726,1.735062425101451e-05
Arch Rock Corporation,0.023999999999999997,0.00044002458797768066
Airtable,0.023999999999999997,0.0005040289817901897
AppHarbor,0.023999999999999997,0.0
Amulyte,0.023999999999999997,0.0
AppZen,0.023999999999999997,6.0890696153498144e-05
AdEspresso,0.023999999999999997,8.49220901411084e-05
App.io,0.023999999999999997,0.00011899134364471669
Anybots,0.023999999999999997,0.0
Allay,0.023999999999999997,0.00015533132787249498
AnyLeaf,0.023999999999999997,0.0
AllTrails,0.023999999999999997,0.00015533132787249498
Alation,0.023999999999999997,0.00018615924745167266
Appbistro,0.02327272727272727,0.0006563386278854623
Adku,0.022545454545454546,0.0005936847480966747
Appcelerator,0.022545454545454546,0.0009669339326515681
3Sourcing,0.022545454545454546,0.0003370492977648395
Autonomic Technologies,0.021818181818181816,0.0010368973233395092
Aviate,0.021818181818181816,0.00041061128194764786
Altiscale,0.021818181818181816,0.00028568652096787344
3ware,0.021818181818181816,0.0007199641773370967
Adaptive Insights,0.02109090909090909,0.001036659287729369
Audiodraft,0.02109090909090909,7.338093959612669e-06
Apptuto,0.02109090909090909,3.16742909593078e-05
Ausra,0.02109090909090909,0.0008274521340986849
Api.ai,0.02109090909090909,0.000983183183437623
ADARA,0.02109090909090909,0.0013503607013566983
August,0.02109090909090909,0.0008982039519167739
Alumnify,0.02109090909090909,0.00040523422151536977
AeroScout,0.02109090909090909,0.0009155636730821619
Arcot Systems,0.02109090909090909,0.000947359627329665
ActivityHero,0.02036363636363636,0.0
App.net,0.02036363636363636,3.121520441896423e-05
AppSocially,0.02036363636363636,0.0
Anyadir Education,0.02036363636363636,0.0
99Gamers,0.02036363636363636,0.0
"AutoLotto, Inc.",0.02036363636363636,0.0
ArtCorgi,0.02036363636363636,0.0
Altor Networks,0.02036363636363636,0.0004677145467180428
Artimi,0.019636363636363636,0.00018670169709097468
Adatao,0.019636363636363636,0.00010594309086433435
ApniCure,0.018909090909090907,0.00023453696665934023
Acclarent,0.018909090909090907,0.0004327386273016194
ARMO BioSciences,0.018909090909090907,0.0002111832410152286
AccessLan Communications,0.018909090909090907,0.00032925793953729416
Arrayent,0.018909090909090907,0.001074989016917292
6sense,0.018909090909090907,0.0007669510753647264
41st Parameter,0.018909090909090907,0.000287873391573473
Amprius,0.018909090909090907,0.0007771378071097926
Alexza Pharmaceuticals,0.01818181818181818,0.0003066334105923441
Desk,0.01818181818181818,0.0001343118360281812
Amino,0.01818181818181818,0.0005231850075572749
ArcSight,0.017454545454545452,0.00026654201579477053
Acta technology,0.017454545454545452,0.0004779456888596913
Anki,0.017454545454545452,2.1142426643513384e-05
Nimble VR,0.017454545454545452,0.00046872671109064983
Appirio,0.017454545454545452,0.00021964026930537642
Audentes Therapeutics,0.017454545454545452,0.0003816314444369812
Attune,0.017454545454545452,0.0007736836309243028
Allihub,0.016727272727272726,2.4394582774566852e-05
3Jam,0.016727272727272726,0.00013671882031103218
100Plus,0.016,8.785966215409803e-05
Athos,0.016,0.00041144279773568115
Appthority,0.016,0.0002663066851590966
1Life Healthcare,0.016,0.00011937434294980712
Align Commerce,0.016,5.155767296111538e-05
Agami System,0.015272727272727271,3.286436359926254e-05
Aerospike,0.015272727272727271,0.00011786821468118691
Aria Systems,0.015272727272727271,0.0008676609212182973
Alien Technology,0.015272727272727271,0.00013276268933509538
Astrid,0.015272727272727271,0.0009168227846742304
Agentdesks,0.015272727272727271,0.00038542939633671135
Amitree,0.015272727272727271,0.00014148837780698058
Anaplan,0.015272727272727271,0.0002205940124897768
Anacor Pharmaceutical,0.014545454545454545,0.0003604002866842082
Ascendis Pharma,0.014545454545454545,0.0004037740082241321
Alector,0.014545454545454545,0.0008013516647744351
Automattic,0.014545454545454545,0.0002182421310142329
adRise,0.014545454545454545,0.00020972493591954821
Auditude,0.014545454545454545,0.0001554072374100136
Avi Networks Inc,0.013818181818181818,0.00013453859021877066
"Progyny, Inc.",0.013818181818181818,0.0
Agiliance,0.013818181818181818,0.00014628257701713236
aboutLife,0.013818181818181818,0.0
ANDA Networks,0.013818181818181818,0.00014219201790425848
Adallom,0.013818181818181818,7.744335223403638e-05
Aicent,0.01309090909090909,6.321367860257662e-05
Augmedix,0.01309090909090909,0.0004663435135142192
"Ariosa Diagnostics, Inc.",0.01309090909090909,0.00040525226102420576
Atrenta,0.01309090909090909,0.00023005359927737097
Academia.edu,0.01309090909090909,6.77554978242066e-05
Aruba Networks,0.01309090909090909,0.0001729845280405017
Agility Design Solutions,0.01309090909090909,1.676281865720952e-05
Aeluros,0.01309090909090909,8.20484718102855e-05
Apieron,0.012363636363636363,0.0006736756533606023
Avalanche Biotech,0.012363636363636363,4.4903241051655165e-05
AppJet,0.012363636363636363,0.00021461778071273842
One Block Off the Grid (1BOG),0.012363636363636363,0.0
Addepar,0.012363636363636363,5.7137301330414206e-05
Allux Medical,0.012363636363636363,6.855152260170887e-05
Airespace,0.011636363636363636,0.0002264954471965903
Availigent,0.011636363636363636,0.00010310095180263698
Apptera,0.011636363636363636,0.00029862551954907207
Aarki,0.011636363636363636,0.00020700811827258848
Aarohi communication,0.011636363636363636,0.00036734153764721454
ADVANCE Medical,0.011636363636363636,1.1199229238852151e-05
Averail,0.011636363636363636,0.00013472283378783258
AdsNative,0.011636363636363636,0.0004137181957547812
140 Proof,0.011636363636363636,4.6263826010966515e-05
App Annie,0.010909090909090908,3.957378250946591e-05
Altia Systems,0.010909090909090908,0.0
3Scan,0.010909090909090908,0.0004364056150203609
Atieva,0.010909090909090908,0.0
AVG Technologies,0.010909090909090908,0.0
Aha Mobile,0.010909090909090908,0.0
Argo,0.010909090909090908,0.00010928096974810415
Atheer Labs,0.010909090909090908,3.6707696390725406e-05
AgilOne,0.010909090909090908,5.31963706427084e-05
Atempo,0.010909090909090908,0.0
Cloud9 IDE,0.01018181818181818,0.00036734153764721454
Autopilot,0.01018181818181818,4.785579545019973e-05
Above All Software,0.01018181818181818,2.8063583146263363e-05
Activehours,0.01018181818181818,5.3590894737374936e-05
